Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,2000,4,47,20000,20000,1
T1,1000,16,167,10000,10000,1
T2,1000,40,406,10000,10000,1
T3,10000,8,80,100000,100000,1
T4,10000,7,75,100000,100000,1
T5,1000,35,352,10000,10000,1
T6,1000,35,354,10000,10000,1
T7,10000,7,72,100000,100000,1
T8,1000,14,142,10000,10000,1
T9,10000,27,277,100000,100000,1
T10,10000,1,12,100000,100000,1
T11,1000,17,179,10000,10000,1
T12,10000,7,74,100000,100000,1
T13,1000,26,260,10000,10000,1
T14,10000,6,66,100000,100000,1
T15,1000,11,119,10000,10000,1
T16,500,16,162,5000,5000,1
T17,100,0,6,1000,1000,1
T18,10000,6,61,100000,100000,1
T19,1000,19,195,10000,10000,1
T20,1000,27,272,10000,10000,1
T21,100000,0,1,1000000,1000000,1
T22,10000,8,85,100000,100000,1
T23,1000,25,252,10000,10000,1
T24,100,0,7,1000,1000,1
T25,100,6,63,1000,1000,1
T26,1000,19,191,10000,10000,1
T27,500,14,141,5000,5000,1
T28,10000,1,19,100000,100000,1
T29,1000,4,45,10000,10000,1
T30,1000,21,216,10000,10000,1
T31,1000,24,247,10000,10000,1
T32,10000,4,42,100000,100000,1
T33,10000,4,44,100000,100000,1
T34,1000,23,238,10000,10000,1
T35,1000,6,69,10000,10000,1
T36,1000,4,40,10000,10000,1
T37,10000,8,89,100000,100000,1
T38,1000,26,265,10000,10000,1
T39,100000,0,0,1000000,1000000,1
T40,1000,6,66,10000,10000,1
T41,1000,14,144,10000,10000,1
T42,10000,1,10,100000,100000,1
T43,10000,9,92,100000,100000,1
T44,1000,3,30,10000,10000,1
T45,1000,19,191,10000,10000,1
T46,10000,7,74,100000,100000,1
T47,100,10,103,1000,1000,1
T48,10000,19,195,100000,100000,1
